yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
198001,0.1200,0.1109,0.1242,0.1114,0.0133,-0.0086
198002,0.1286,0.1238,0.1357,0.1186,0.0119,-0.0100
198003,0.1520,0.1296,0.1445,0.1239,0.0149,-0.0281
198004,0.1320,0.1204,0.1419,0.1076,0.0215,-0.0244
198005,0.0858,0.1099,0.1317,0.1037,0.0218,0.0179
198006,0.0707,0.1058,0.1271,0.1006,0.0213,0.0299
198007,0.0806,0.1107,0.1265,0.1074,0.0158,0.0268
198008,0.0913,0.1164,0.1315,0.1140,0.0151,0.0227
198009,0.1027,0.1202,0.1370,0.1185,0.0168,0.0158
198010,0.1162,0.1231,0.1423,0.1231,0.0192,0.0069
198011,0.1373,0.1297,0.1464,0.1230,0.0167,-0.0143
198012,0.1549,0.1321,0.1514,0.1199,0.0193,-0.0350
198101,0.1502,0.1281,0.1503,0.1211,0.0222,-0.0291
198102,0.1479,0.1335,0.1537,0.1283,0.0202,-0.0196
198103,0.1336,0.1333,0.1534,0.1248,0.0201,-0.0088
198104,0.1369,0.1388,0.1556,0.1332,0.0168,-0.0037
198105,0.1630,0.1432,0.1595,0.1265,0.0163,-0.0365
198106,0.1473,0.1375,0.1580,0.1304,0.0205,-0.0169
198107,0.1495,0.1438,0.1617,0.1370,0.0179,-0.0125
